id,workstream,title,status,owner,acceptance
UNI-ADR-010,WS-SPEC,Accept Phase 7A payment ingress and reconciliation boundary,DONE,Protocol Architecture Authority,ADR 0015 fixes provider authority finality idempotency accounting quarantine and reconciliation boundaries
UNI-PAYMENT-001,WS-PAYMENTS,Implement immutable payment intent lifecycle,DONE,Protocol Architecture Authority,Exact synthetic intent state and idempotency transitions fail closed
UNI-PROVIDER-001,WS-PAYMENTS,Implement authenticated mock callback ingress,DONE,Security Authority,Pinned Ed25519 provider exact binding expiry and retain-before-normalize checks pass
UNI-IDEMPOTENCY-001,WS-PAYMENTS,Enforce provider event idempotency and ordering,DONE,Security Authority,Replay returns prior result while conflicts and impossible order create no repeated economic effect
UNI-ACCOUNTING-008,WS-LEDGER,Post provisional final and reversal payment journals,DONE,Accounting and Economic Risk Authority,Distinct exact-asset accounts remain balanced immutable idempotent and linked
UNI-RECON-001,WS-LEDGER,Implement synthetic provider-to-ledger reconciliation,DONE,Accounting and Economic Risk Authority,Every difference remains visible owned aged and deadline-bound
UNI-QUARANTINE-001,WS-SECURITY,Quarantine unknown invalid and conflicting callbacks,DONE,Security Authority,Raw evidence hash and reason remain immutable without changing payment economics
UNI-SCHEMA-009,WS-SCHEMA,Define payment callback and reconciliation schemas,DONE,Protocol Architecture Authority,Additive Protobuf generates deterministic bindings in four languages
UNI-SIM-004,WS-RISK,Simulate callback delivery and reconciliation faults,DONE,Accounting and Economic Risk Authority,Duplicate reordered forged stale outage and mismatch scenarios conserve effects
UNI-SEC-010,WS-SECURITY,Complete Phase 7A internal review,DONE,Security Authority,No unresolved critical or existential payment-ingress finding
UNI-REVIEW-008,WS-SPEC,Complete bounded Phase 7A engineering exit,DONE,Program Authority,Exit separates synthetic ingress proof from live payment and loan-allocation approval
UNI-ADR-011,WS-SPEC,Accept Phase 7B final payment allocation boundary,DONE,Protocol Architecture Authority,ADR 0016 fixes finality reconciliation waterfall excess reversal and collateral-evidence boundaries
UNI-ALLOC-001,WS-PAYMENTS,Implement idempotent principal-only allocation projector,DONE,Protocol Architecture Authority,Matched final payment reduces one exact versioned synthetic obligation once
UNI-WATERFALL-001,WS-RISK,Implement immutable principal then excess waterfall,DONE,Accounting and Economic Risk Authority,Every final unit becomes principal reduction or refundable credit
UNI-ACCOUNTING-009,WS-LEDGER,Post atomic allocation and lender payable journals,DONE,Accounting and Economic Risk Authority,Unallocated liability receivable lender claim repayment payable and refund payable remain balanced
UNI-REVERSAL-001,WS-PAYMENTS,Restore exact allocation on provider reversal,DONE,Security Authority,Linked opposite journals and obligation state restore once without history mutation
UNI-COLLATERAL-008,WS-COLLATERAL,Compute non-executing release eligibility evidence,DONE,Security Authority,Zero projected debt matched finality elapsed risk deadline and no reversal are all required
UNI-SCHEMA-010,WS-SCHEMA,Define allocation reversal and release evidence,DONE,Protocol Architecture Authority,Additive Protobuf generates deterministic bindings in four languages
UNI-SIM-005,WS-RISK,Simulate allocation overpayment and reversal faults,DONE,Accounting and Economic Risk Authority,Partial full excess replay conflict outage and reversal scenarios conserve units
UNI-SEC-011,WS-SECURITY,Complete Phase 7B internal review,DONE,Security Authority,No unresolved critical or existential allocation finding
UNI-REVIEW-009,WS-SPEC,Complete bounded Phase 7B engineering exit,TODO,Program Authority,Exit separates synthetic allocation proof from canonical debt and collateral authority
