id,title,source,line
INV-ACC-001,Global accounted asset conservation,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,209
INV-ACC-002,Balanced journal entries,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,223
INV-ACC-003,Immutable posted history,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,231
INV-ACC-004,Idempotent event posting,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,241
INV-ACC-005,Control-to-custody reconciliation,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,249
INV-ACC-006,No hidden negative reserve,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,259
INV-ACC-007,Suspense isolation,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,263
INV-SUP-001,Fixed cap,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,279
INV-SUP-002,Supply equation,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,285
INV-SUP-003,No post-genesis mint path,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,291
INV-SUP-004,Burn irreversibility,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,295
INV-SUP-005,Allocation reconciliation,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,299
INV-SUP-006,Vesting conservation,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,307
INV-SUP-007,Release bound,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,315
INV-SUP-008,No double representation,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,321
INV-SUP-009,Per-chain backing,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,337
INV-SUP-010,Global backing,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,343
INV-SUP-011,Backing exclusivity,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,349
INV-SUP-012,Satellite burn reconciliation,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,353
INV-SUP-013,Bridge exposure bounds,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,360
INV-AUTH-001,Deny by default,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,370
INV-AUTH-002,Least authority,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,374
INV-AUTH-003,Role separation,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,378
INV-AUTH-004,No hidden superuser,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,389
INV-AUTH-005,Signature binding,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,393
INV-AUTH-006,Nonce uniqueness,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,408
INV-AUTH-007,Expiry enforcement,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,412
INV-AUTH-008,Delegation scope,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,416
INV-AUTH-009,Revocation effectiveness,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,420
INV-LOAN-001,Unique canonical loan identity,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,430
INV-LOAN-002,"One offer, one consumption",docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,434
INV-LOAN-003,Agreement hash integrity,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,442
INV-LOAN-004,Immutable activation snapshot,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,446
INV-LOAN-005,Policy-version existence,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,464
INV-LOAN-006,No retroactive upgrade,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,468
INV-LOAN-007,Activation completeness,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,472
INV-LOAN-008,Terminal state finality,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,488
INV-LOAN-009,No duplicate obligation,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,492
INV-LOAN-010,Borrower repayment right,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,496
INV-LOAN-011,Closure completeness,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,500
INV-LOAN-012,Valid transition graph,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,508
INV-LOAN-013,State compatibility,docs/specifications/Unified_Protocol_Invariants_and_Formal_Verification_Specification_v0.1.md,512
